event,outcome,variable,n_pos,n_neg,med_pos,iqr_pos,med_neg,iqr_neg,mean_pos,mean_neg,cohen_d,auc,auc_lo,auc_hi,meaningful
fav_1p5,reach_plus3,aligned_5m,1385,1303,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.47653429602888087,0.476592478894858,-0.00011645043990203307,0.49997090856701143,0.48098240962265143,0.5167919610511511,False
fav_1p5,reach_plus3,aligned_15m,1386,1304,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.4805194805194805,0.47699386503067487,0.007054991272113169,0.5017628077444029,0.48332993042762973,0.5206646112017312,False
fav_1p5,reach_plus3,aligned_1h,1387,1304,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.4996395097332372,0.4938650306748466,0.011545088305615103,0.5028872395291953,0.48308578436978666,0.5214096818109948,False
fav_1p5,reach_plus3,trans_5m,1385,1303,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.05776173285198556,0.05525709900230238,0.010839814268498022,0.5012523169248416,0.4931592616716329,0.5096255392812254,False
fav_1p5,win,t_since_t0_s,1966,825,267.0,"[138.0, 462.0]",220.0,"[112.0, 388.0]",338.7731434384537,284.7357575757576,0.20342936866952335,0.5587536607170381,0.534420055495147,0.5807762262974956,False
fav_1p5,win,s_from_prev_level,1966,825,51.0,"[17.0, 148.0]",33.0,"[9.0, 105.0]",121.18362156663275,89.27272727272727,0.18980210941110898,0.5717124448965751,0.5492004329925957,0.5927565741315606,False
fav_1p5,win,mae_through_touch,1966,825,0.4648163955160234,"[0.19389061107763395, 0.8537239542096029]",0.4841521068839576,"[0.19630425041696667, 0.9429659865413214]",0.5951459633885722,0.6552223405119404,-0.10583138620560997,0.48110607601960603,0.45676706767065217,0.5042449561536059,False
fav_1p5,win,adv0p5_before,1966,825,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.47202441505595116,0.49333333333333335,-0.042650737990382326,0.48934554086130894,0.46889447507127036,0.5081653254398688,False
fav_1p5,win,adv1_before,1966,825,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.18819938962360122,0.22424242424242424,-0.09034666868282956,0.4819784826905885,0.46550111415441514,0.499482893903766,False
fav_1p5,win,aligned_5m,1867,821,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.4692019282271023,0.4933008526187576,-0.04824484967584602,0.48795053780417236,0.46693400027321535,0.5086775654103144,False
fav_1p5,win,aligned_15m,1867,823,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.47830744509908946,0.479951397326853,-0.00328964115526978,0.49917802388611826,0.4795678272732716,0.5185026164292555,False
fav_1p5,win,aligned_1h,1868,823,1.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.5064239828693791,0.47509113001215064,0.0626697946326355,0.5156664264286142,0.49569946335612536,0.5341414901172035,False
fav_1p5,win,trans_5m,1867,821,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.059989287627209426,0.048721071863580996,0.048779353184512146,0.5056341078818142,0.49721654546713,0.5133638382024102,False
fav_1p5,win_given_plus2 (C2),t_since_t0_s,1847,373,258.0,"[134.0, 448.0]",191.0,"[103.0, 346.0]",328.03410936654035,260.26541554959783,0.25861161199891186,0.5796973862404218,0.5461415182661176,0.6114233583598888,False
fav_1p5,win_given_plus2 (C2),s_from_prev_level,1847,373,49.0,"[16.0, 140.0]",29.0,"[9.0, 84.0]",115.17379534380076,80.16890080428955,0.2121116265033262,0.5861109457986359,0.5550878614401037,0.6173784795713184,False
fav_1p5,win_given_plus2 (C2),mae_through_touch,1847,373,0.45922858498534014,"[0.19233084996450694, 0.8537860232702212]",0.5042000989744605,"[0.19359181621498744, 1.0478670882307337]",0.5922864117979819,0.7015580262326069,-0.1896860396881992,0.47161254174946404,0.4324849841577581,0.5065146862903073,False
fav_1p5,win_given_plus2 (C2),adv0p5_before,1847,373,0.0,"[0.0, 1.0]",1.0,"[0.0, 1.0]",0.46832701678397404,0.5040214477211796,-0.07147649858863384,0.4821527845313972,0.4529475503789615,0.5085995114420037,False
fav_1p5,win_given_plus2 (C2),adv1_before,1847,373,0.0,"[0.0, 0.0]",0.0,"[0.0, 1.0]",0.18949648077964265,0.257372654155496,-0.1696692889837829,0.46606191331207336,0.4407445308093448,0.48968137914995624,False
fav_1p5,win_given_plus2 (C2),aligned_5m,1764,369,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.4665532879818594,0.4742547425474255,-0.015427803903642604,0.496149272717217,0.4666869777118351,0.5236160585904696,False
fav_1p5,win_given_plus2 (C2),aligned_15m,1764,371,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.4744897959183674,0.4636118598382749,0.02177914834476983,0.5054389680400462,0.47874245542120053,0.5343327204561058,False
fav_1p5,win_given_plus2 (C2),aligned_1h,1765,371,1.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.5036827195467423,0.46630727762803237,0.0747470377709159,0.5186877209593549,0.490742115507412,0.5450221899951024,False
fav_1p5,win_given_plus2 (C2),trans_5m,1764,369,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.05952380952380952,0.032520325203252036,0.11866049744325215,0.5135017421602788,0.501650137478329,0.5235094629564716,False
fav_2p0,win_given_plus2 (C2),t_since_t0_s,1847,373,390.0,"[216.0, 598.5]",265.0,"[142.0, 432.0]",453.10286951813754,324.0938337801609,0.41093631278078496,0.6318020237150019,0.5978234876843557,0.6626201911834115,True
fav_2p0,win_given_plus2 (C2),s_from_prev_level,1847,373,50.0,"[16.0, 164.0]",23.0,"[8.0, 70.0]",125.06876015159719,63.828418230563,0.36608860558050815,0.629907784669292,0.5998846977103588,0.6597239083166136,True
fav_2p0,win_given_plus2 (C2),mae_through_touch,1847,373,0.4766759281277966,"[0.208072538139063, 0.8672277147637721]",0.5115712656295954,"[0.19630425041696667, 1.0578837580415965]",0.6048109669669739,0.7056525889513117,-0.1744462763672313,0.4772081674362164,0.43737761859908375,0.5126370959045583,False
fav_2p0,win_given_plus2 (C2),adv0p5_before,1847,373,0.0,"[0.0, 1.0]",1.0,"[0.0, 1.0]",0.4807796426637791,0.5093833780160858,-0.05721857313987687,0.4856981323238467,0.45660279826811057,0.5119430812436838,False
fav_2p0,win_given_plus2 (C2),adv1_before,1847,373,0.0,"[0.0, 0.0]",0.0,"[0.0, 1.0]",0.19274499187872227,0.26005361930294907,-0.16726650630409634,0.4663456862878866,0.4416163791223513,0.49058439939179627,False
