anchor,block,lag,outcome,rho_raw,rho_null,rho_residual
3.0,pooled,trig_pos,final_pnl,0.04692125154785737,-0.03135724811467083,0.054812759522614225
3.0,pooled,trig_pos,giveback,-0.47775301942821796,-0.6966842914179645,-0.28139055976267996
3.0,pooled,trig_pos,add_mfe,-0.16492843979510854,-0.42048372178034416,-0.06354465513020276
3.0,pooled,price_to_trig,final_pnl,-0.03227560375856188,0.0948619927639497,-0.05519692653529765
3.0,pooled,price_to_trig,giveback,0.4746618640666139,0.6995021980302525,0.2762990819343566
3.0,pooled,price_to_trig,add_mfe,0.17331726407382134,0.45061414156417573,0.059154309327245365
3.0,pooled,mfe_to_trig,final_pnl,-0.03947607596494621,0.0650324508258347,-0.057660228263355956
3.0,pooled,mfe_to_trig,giveback,0.4896638405014663,0.705122583167398,0.2921177985714692
3.0,pooled,mfe_to_trig,add_mfe,0.1666091819801624,0.4138986049536739,0.06656535730068028
3.0,pooled,catchup1,final_pnl,0.0369341226882609,0.0716795773917715,0.024567378585091264
3.0,pooled,catchup1,giveback,0.18715069789289057,0.32912773475810253,0.08415149216410694
3.0,pooled,catchup1,add_mfe,0.11913474775324044,0.2779129547226826,0.04791521086445997
